Country,Vulnerable,vaccineAvailable,vaccineGP,vaccineEffectiveness,vaccineNormal,predictionWork,predictionHoliday,predictionNormal,ProlificID
England,No,10,10,8,9,6,12,12,5ae9f13b9b283d00017ee04d
England,"Yes, one of my family members is in a vulnerable group",10,10,9,9,4,9,12,5ce3e2bc22fe790001326e1d
England,No,9,9,7,8,12,9,18,5edad9bc3e927a18f722474d
England,No,8,10,9,8,18,24,36,5eb3d22ffa15221c2e0117c5
England,"Yes, I am in a vulnerable group",10,10,9,10,12,24,36,5fa148d79727b2208ca408b4
England,"Yes, one of my family members is in a vulnerable group",10,10,7,8,6,12,21,5ba49f43840c47000160f138
Scotland,No,10,10,8,7,12,12,24,602d888e3b8daf7e896ab166
England,"Yes, one of my family members is in a vulnerable group",9,9,7,7,2,12,24,5b3533616d601d0001d65110
England,No,10,10,8,9,12,12,24,5f2ece203d736d27675d9496
England,No,10,10,6,9,5,12,18,603d345a41a4ccb7e126dcd1
England,"Yes, one of my family members is in a vulnerable group",10,10,9,9,18,6,18,5e8d24047fba8f0ed42975b5
Scotland,No,10,10,1,8,12,24,48,5f5bdef433291039ca812397
England,No,10,10,8,9,6,4,9,603bc4615efcd8834c3c0450
England,"Yes, I am in a vulnerable group",10,10,9,8,6,9,18,5ffc7d3bf2906c0ad8bcf9b4
England,"Yes, one of my family members is in a vulnerable group",10,10,9,9,12,6,24,5e809c3515980f776e56a493
England,"Yes, one of my family members is in a vulnerable group",10,10,10,10,9,6,12,5f0c92274d299e0e5f26e40a
England,No,10,10,4,3,12,24,60,5f61f7f59df6ca1bfe6a8a89
England,No,5,3,7,6,12,24,18,5f7ee2af49f7a51d751d7d98
England,No,10,10,10,8,6,6,12,5ff2cdea0b03abfc9ae58ab2
England,"Yes, I am in a vulnerable group",10,10,10,10,12,12,36,5ea00a03e32996000ac2da80
England,"Yes, one of my family members is in a vulnerable group",10,10,8,8,12,24,48,5e1aeccbd32f9332c931651e
England,No,9,9,7,8,8,12,12,5eac39578621a7067ae955eb
England,No,10,10,7,8,4,9,9,5e58b75cc713f80bf5605d34
England,"Yes, one of my family members is in a vulnerable group",10,10,8,8,4,12,12,5e662ebd5c28e1000c543cab
England,No,10,10,7,7,NA,12,60,5aea2b3b1246ce000110d2fd
England,No,10,10,9,10,3,6,18,5e6fc1d5d6d43357de8e6edc
England,No,10,10,8,8,6,12,24,5fef2e26520dd124f6240e0f
England,No,10,10,8,9,12,6,12,5c69be6ac3aaf50001c69311
England,"Yes, I am in a vulnerable group,Yes, one of my family members is in a vulnerable group",10,10,9,9,4,6,12,5e9dafe6b8a8f30c1215523f
England,"Yes, one of my family members is in a vulnerable group",8,9,7,8,24,6,24,5f0dbbac1296d504be69f37e
Scotland,No,10,10,10,9,3,6,24,5ecbe220d068807a5425c4de
England,"Yes, one of my family members is in a vulnerable group",10,10,8,10,12,6,36,5fc74b5900f0a5079e03dbae
England,No,10,10,10,10,6,18,9,59e5244aac0af70001b36803
England,No,10,10,8,7,12,12,18,5c67fec9b083920001981572
England,No,10,10,8,10,12,24,60,5e977f778ffa480f96f70d64
Scotland,"Yes, one of my family members is in a vulnerable group",10,10,10,10,18,12,24,5ea6eba9aba41b078b6a832f
Scotland,No,10,10,8,9,9,12,12,5ea968bb6b63e005e4101007
England,No,10,10,7,9,12,5,36,6036746ca98e1e3aafa30569
England,"Yes, one of my family members is in a vulnerable group",10,10,5,8,6,12,24,5a7a0d8df49c9a0001f31b73
England,No,10,10,7,8,6,12,36,5c7da4066babcb000185028b
England,"Yes, one of my family members is in a vulnerable group",10,10,9,10,24,18,24,5dbf09120f73cf3b21b5711c
England,"Yes, one of my family members is in a vulnerable group",10,5,6,8,6,6,10,5977461fc0e7140001ed3d18
England,No,1,1,2,4,6,12,12,5ea9a852575f8c0d9cd814d2
England,No,10,10,8,10,12,9,24,5efca11992bb0d06c28f4bd3
England,No,10,10,9,10,6,4,12,5dcfe056e2dcbd0e4508e76a
